**********
Day 1:
**********

12:00 PM:  CANDYCE FERET arrived at FSC Chick-fil-A and entered Order Line 1.
	| Grilled_Chicken_Sandwich       | $4.39      | 4          |
	| Grilled_Chicken_Sandwich       | $4.39      | 4          |
	| Milkshake_Large                | $3.15      | 4          |
	Total Price:  $52.37
Order Number:  275052
	Time Completed:   2:25 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich               | $3.05      | 2          |
	| Nuggets_12_Piece               | $4.45      | 1          |
	| Chicken_Sandwich_Spicy         | $3.29      | 3          |
	| Chicken_Sandwich_Spicy         | $3.29      | 2          |
	| Chicken_Sandwich_Combo         | $5.95      | 1          |
	Total Price:  $32.95
Order Number:  275051
	Time Completed:   2:24 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Milkshake_Small                | $2.75      | 4          |
	Total Price:  $11.00
Order Number:  275050
	Time Completed:   2:21 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Water_Dasani                   | $1.59      | 4          |
	| Chicken_Sandwich_Combo_Spicy   | $6.79      | 3          |
	| Water_Dasani                   | $1.59      | 2          |
	| Waffle_Fries_Medium            | $1.65      | 4          |
	| Grilled_Chicken_Sandwich       | $4.39      | 4          |
	Total Price:  $54.07
Order Number:  275049
	Time Completed:   2:21 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Nuggets_8_Piece_Combo          | $5.95      | 2          |
	Total Price:  $11.90
Order Number:  275048
	Time Completed:   2:19 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Nuggets_12_Piece_Combo         | $8.59      | 3          |
	| Soft_Drink_Small               | $1.35      | 3          |
	| Grilled_Chicken_Sandwich_Combo | $7.19      | 3          |
	| Water_Dasani                   | $1.59      | 1          |
	| Waffle_Fries_Large             | $1.85      | 1          |
	Total Price:  $54.83
Order Number:  275047
	Time Completed:   2:19 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Waffle_Fries_Medium            | $1.65      | 3          |
	| Chicken_Sandwich_Combo         | $5.95      | 4          |
	Total Price:  $28.75
Order Number:  275046
	Time Completed:   2:16 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Soft_Drink_Medium              | $1.59      | 1          |
	Total Price:  $1.59
Order Number:  275045
	Time Completed:   2:14 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Grilled_Chicken_Sandwich_Combo | $7.19      | 3          |
	| Grilled_Chicken_Sandwich_Combo | $7.19      | 4          |
	Total Price:  $50.33
Order Number:  275044
	Time Completed:   2:13 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich_Spicy         | $3.29      | 1          |
	| Milkshake_Large                | $3.15      | 2          |
	Total Price:  $9.59
Order Number:  275043
	Time Completed:   2:12 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Nuggets_8_Piece                | $3.05      | 4          |
	| Waffle_Fries_Small             | $1.55      | 3          |
	| Nuggets_8_Piece                | $3.05      | 3          |
	Total Price:  $26.00
Order Number:  275042
	Time Completed:   2:11 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Waffle_Fries_Medium            | $1.65      | 2          |
	| Nuggets_12_Piece_Combo         | $8.59      | 1          |
	| Water_Dasani                   | $1.59      | 3          |
	| Soft_Drink_Small               | $1.35      | 2          |
	| Chicken_Sandwich_Spicy         | $3.29      | 4          |
	Total Price:  $32.52
Order Number:  275041
	Time Completed:   2:10 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Nuggets_8_Piece_Combo          | $5.95      | 4          |
	| Nuggets_12_Piece               | $4.45      | 1          |
	| Waffle_Fries_Medium            | $1.65      | 1          |
	| Nuggets_8_Piece                | $3.05      | 4          |
	| Soft_Drink_Small               | $1.35      | 2          |
	Total Price:  $44.80
Order Number:  275040
	Time Completed:   2:07 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich_Combo         | $5.95      | 2          |
	| Nuggets_8_Piece                | $3.05      | 2          |
	| Chicken_Sandwich               | $3.05      | 2          |
	| Waffle_Fries_Large             | $1.85      | 3          |
	Total Price:  $29.65
Order Number:  275039
	Time Completed:   2:05 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Milkshake_Small                | $2.75      | 2          |
	| Waffle_Fries_Medium            | $1.65      | 1          |
	Total Price:  $7.15
Order Number:  275038
	Time Completed:   2:03 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich_Combo_Spicy   | $6.79      | 4          |
	Total Price:  $27.16
Order Number:  275037
	Time Completed:   2:02 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Milkshake_Large                | $3.15      | 1          |
	| Chicken_Sandwich               | $3.05      | 2          |
	| Water_Dasani                   | $1.59      | 1          |
	| Chicken_Sandwich_Spicy         | $3.29      | 1          |
	| Chicken_Sandwich               | $3.05      | 3          |
	Total Price:  $23.28
Order Number:  275036
	Time Completed:   2:02 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Water_Dasani                   | $1.59      | 2          |
	| Grilled_Chicken_Sandwich       | $4.39      | 1          |
	| Chicken_Sandwich_Combo         | $5.95      | 1          |
	Total Price:  $13.52
Order Number:  275035
	Time Completed:   2:01 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich_Spicy         | $3.29      | 1          |
	| Nuggets_12_Piece_Combo         | $8.59      | 1          |
	| Water_Dasani                   | $1.59      | 2          |
	Total Price:  $15.06
Order Number:  275034
	Time Completed:   1:58 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich               | $3.05      | 3          |
	| Soft_Drink_Large               | $1.85      | 3          |
	| Milkshake_Small                | $2.75      | 2          |
	| Milkshake_Small                | $2.75      | 1          |
	Total Price:  $22.95
Order Number:  275033
	Time Completed:   1:57 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Nuggets_12_Piece               | $4.45      | 3          |
	| Nuggets_8_Piece                | $3.05      | 3          |
	| Waffle_Fries_Small             | $1.55      | 1          |
	| Waffle_Fries_Large             | $1.85      | 3          |
	Total Price:  $29.60
Order Number:  275032
	Time Completed:   1:56 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich_Combo_Spicy   | $6.79      | 2          |
	| Soft_Drink_Small               | $1.35      | 1          |
	Total Price:  $14.93
Order Number:  275031
	Time Completed:   1:53 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Grilled_Chicken_Sandwich_Combo | $7.19      | 3          |
	Total Price:  $21.57
Order Number:  275030
	Time Completed:   1:53 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich               | $3.05      | 1          |
	| Milkshake_Large                | $3.15      | 4          |
	Total Price:  $15.65
Order Number:  275029
	Time Completed:   1:52 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich               | $3.05      | 1          |
	Total Price:  $3.05
Order Number:  275028
	Time Completed:   1:51 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich               | $3.05      | 2          |
	| Nuggets_12_Piece_Combo         | $8.59      | 2          |
	| Milkshake_Large                | $3.15      | 3          |
	| Nuggets_8_Piece                | $3.05      | 3          |
	| Soft_Drink_Medium              | $1.59      | 1          |
	Total Price:  $43.47
Order Number:  275027
	Time Completed:   1:50 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Grilled_Chicken_Sandwich       | $4.39      | 1          |
	| Waffle_Fries_Large             | $1.85      | 1          |
	| Milkshake_Large                | $3.15      | 2          |
	Total Price:  $12.54
Order Number:  275026
	Time Completed:   1:50 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich_Combo         | $5.95      | 4          |
	Total Price:  $23.80
Order Number:  275025
	Time Completed:   1:48 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich_Combo         | $5.95      | 3          |
	| Chicken_Sandwich_Combo_Spicy   | $6.79      | 1          |
	| Chicken_Sandwich_Combo_Spicy   | $6.79      | 3          |
	| Soft_Drink_Large               | $1.85      | 2          |
	Total Price:  $48.71
Order Number:  275024
	Time Completed:   1:46 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Nuggets_8_Piece                | $3.05      | 2          |
	| Milkshake_Large                | $3.15      | 3          |
	| Milkshake_Small                | $2.75      | 1          |
	Total Price:  $18.30
Order Number:  275023
	Time Completed:   1:45 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Soft_Drink_Medium              | $1.59      | 4          |
	Total Price:  $6.36
Order Number:  275022
	Time Completed:   1:43 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Nuggets_12_Piece               | $4.45      | 4          |
	| Grilled_Chicken_Sandwich       | $4.39      | 3          |
	Total Price:  $30.97
Order Number:  275021
	Time Completed:   1:43 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Milkshake_Small                | $2.75      | 2          |
	| Waffle_Fries_Large             | $1.85      | 4          |
	| Milkshake_Large                | $3.15      | 2          |
	| Grilled_Chicken_Sandwich       | $4.39      | 4          |
	Total Price:  $36.76
Order Number:  275020
	Time Completed:   1:42 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Water_Dasani                   | $1.59      | 3          |
	| Soft_Drink_Small               | $1.35      | 1          |
	| Waffle_Fries_Large             | $1.85      | 2          |
	Total Price:  $9.82
Order Number:  275019
	Time Completed:   1:40 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Waffle_Fries_Small             | $1.55      | 3          |
	| Milkshake_Small                | $2.75      | 4          |
	Total Price:  $15.65
Order Number:  275018
	Time Completed:   1:38 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Waffle_Fries_Large             | $1.85      | 4          |
	| Water_Dasani                   | $1.59      | 2          |
	| Waffle_Fries_Small             | $1.55      | 1          |
	Total Price:  $12.13
Order Number:  275017
	Time Completed:   1:38 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Nuggets_8_Piece                | $3.05      | 4          |
	| Soft_Drink_Large               | $1.85      | 4          |
	| Chicken_Sandwich_Spicy         | $3.29      | 2          |
	| Soft_Drink_Small               | $1.35      | 4          |
	| Chicken_Sandwich_Spicy         | $3.29      | 4          |
	Total Price:  $44.74
Order Number:  275016
	Time Completed:   1:37 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Milkshake_Small                | $2.75      | 1          |
	| Grilled_Chicken_Sandwich_Combo | $7.19      | 2          |
	| Soft_Drink_Large               | $1.85      | 2          |
	| Nuggets_8_Piece_Combo          | $5.95      | 3          |
	| Soft_Drink_Large               | $1.85      | 3          |
	Total Price:  $44.23
Order Number:  275015
	Time Completed:   1:34 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich_Spicy         | $3.29      | 1          |
	| Chicken_Sandwich               | $3.05      | 4          |
	Total Price:  $15.49
Order Number:  275014
	Time Completed:   1:32 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Waffle_Fries_Medium            | $1.65      | 3          |
	| Nuggets_8_Piece_Combo          | $5.95      | 3          |
	Total Price:  $22.80
Order Number:  275013
	Time Completed:   1:31 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Nuggets_12_Piece               | $4.45      | 1          |
	| Waffle_Fries_Small             | $1.55      | 2          |
	| Water_Dasani                   | $1.59      | 1          |
	| Soft_Drink_Small               | $1.35      | 1          |
	Total Price:  $10.49
Order Number:  275012
	Time Completed:   1:31 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Nuggets_12_Piece               | $4.45      | 2          |
	| Chicken_Sandwich_Combo         | $5.95      | 1          |
	| Water_Dasani                   | $1.59      | 3          |
	Total Price:  $19.62
Order Number:  275011
	Time Completed:   1:29 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich_Combo_Spicy   | $6.79      | 2          |
	Total Price:  $13.58
Order Number:  275010
	Time Completed:   1:27 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Nuggets_8_Piece_Combo          | $5.95      | 1          |
	| Waffle_Fries_Medium            | $1.65      | 4          |
	Total Price:  $12.55
Order Number:  275009
	Time Completed:   1:27 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Milkshake_Large                | $3.15      | 3          |
	Total Price:  $9.45
Order Number:  275008
	Time Completed:   1:26 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Waffle_Fries_Large             | $1.85      | 2          |
	| Waffle_Fries_Medium            | $1.65      | 3          |
	| Chicken_Sandwich_Combo         | $5.95      | 3          |
	| Soft_Drink_Small               | $1.35      | 4          |
	| Waffle_Fries_Large             | $1.85      | 4          |
	Total Price:  $39.30
Order Number:  275007
	Time Completed:   1:25 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich_Combo_Spicy   | $6.79      | 3          |
	| Soft_Drink_Large               | $1.85      | 1          |
	| Soft_Drink_Large               | $1.85      | 3          |
	| Nuggets_8_Piece                | $3.05      | 3          |
	| Waffle_Fries_Small             | $1.55      | 4          |
	Total Price:  $43.12
Order Number:  275006
	Time Completed:   1:24 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Milkshake_Large                | $3.15      | 1          |
	| Milkshake_Small                | $2.75      | 3          |
	| Waffle_Fries_Medium            | $1.65      | 3          |
	| Nuggets_8_Piece                | $3.05      | 4          |
	| Waffle_Fries_Small             | $1.55      | 1          |
	Total Price:  $30.10
Order Number:  275005
	Time Completed:   1:20 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Water_Dasani                   | $1.59      | 2          |
	| Water_Dasani                   | $1.59      | 4          |
	| Waffle_Fries_Small             | $1.55      | 4          |
	| Nuggets_8_Piece                | $3.05      | 4          |
	Total Price:  $27.94
Order Number:  275004
	Time Completed:   1:19 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich               | $3.05      | 3          |
	| Nuggets_8_Piece                | $3.05      | 4          |
	Total Price:  $21.35
Order Number:  275003
	Time Completed:   1:18 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Milkshake_Small                | $2.75      | 1          |
	Total Price:  $2.75
Order Number:  275002
	Time Completed:   1:16 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Waffle_Fries_Large             | $1.85      | 4          |
	| Waffle_Fries_Large             | $1.85      | 3          |
	Total Price:  $12.95
Order Number:  275001
	Time Completed:   1:16 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Milkshake_Large                | $3.15      | 4          |
	| Waffle_Fries_Medium            | $1.65      | 3          |
	Total Price:  $17.55
Order Number:  275000
	Time Completed:   1:15 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Grilled_Chicken_Sandwich_Combo | $7.19      | 1          |
	| Waffle_Fries_Large             | $1.85      | 1          |
	| Nuggets_8_Piece                | $3.05      | 2          |
	Total Price:  $15.14
Order Number:  274999
	Time Completed:   1:13 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Nuggets_8_Piece                | $3.05      | 4          |
	| Nuggets_8_Piece_Combo          | $5.95      | 1          |
	| Milkshake_Small                | $2.75      | 1          |
	| Chicken_Sandwich_Combo         | $5.95      | 2          |
	Total Price:  $32.80
Order Number:  274998
	Time Completed:   1:13 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich               | $3.05      | 1          |
	| Grilled_Chicken_Sandwich       | $4.39      | 2          |
	| Grilled_Chicken_Sandwich       | $4.39      | 2          |
	| Chicken_Sandwich_Combo_Spicy   | $6.79      | 3          |
	| Chicken_Sandwich               | $3.05      | 4          |
	Total Price:  $53.18
Order Number:  274997
	Time Completed:   1:09 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Soft_Drink_Large               | $1.85      | 4          |
	| Water_Dasani                   | $1.59      | 2          |
	| Grilled_Chicken_Sandwich       | $4.39      | 2          |
	| Nuggets_12_Piece_Combo         | $8.59      | 2          |
	| Soft_Drink_Medium              | $1.59      | 4          |
	Total Price:  $42.90
Order Number:  274996
	Time Completed:   1:08 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Waffle_Fries_Large             | $1.85      | 2          |
	| Soft_Drink_Large               | $1.85      | 1          |
	| Chicken_Sandwich_Combo_Spicy   | $6.79      | 2          |
	| Grilled_Chicken_Sandwich       | $4.39      | 4          |
	| Nuggets_8_Piece_Combo          | $5.95      | 1          |
	Total Price:  $42.64
Order Number:  274995
	Time Completed:   1:07 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Water_Dasani                   | $1.59      | 4          |
	| Nuggets_12_Piece_Combo         | $8.59      | 3          |
	| Chicken_Sandwich_Combo_Spicy   | $6.79      | 1          |
	| Milkshake_Small                | $2.75      | 4          |
	Total Price:  $49.92
Order Number:  274994
	Time Completed:   1:02 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich_Spicy         | $3.29      | 1          |
	| Nuggets_12_Piece_Combo         | $8.59      | 4          |
	Total Price:  $37.65
Order Number:  274993
	Time Completed:   1:02 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich_Combo_Spicy   | $6.79      | 3          |
	| Chicken_Sandwich_Combo_Spicy   | $6.79      | 2          |
	| Waffle_Fries_Medium            | $1.65      | 4          |
	Total Price:  $40.55
Order Number:  274992
	Time Completed:   1:02 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich               | $3.05      | 3          |
	Total Price:  $9.15
Order Number:  274991
	Time Completed:   1:00 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Milkshake_Large                | $3.15      | 1          |
	| Chicken_Sandwich_Combo_Spicy   | $6.79      | 1          |
	| Nuggets_12_Piece_Combo         | $8.59      | 4          |
	Total Price:  $44.30
Order Number:  274990
	Time Completed:  12:58 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Milkshake_Small                | $2.75      | 2          |
	Total Price:  $5.50
Order Number:  274989
	Time Completed:  12:56 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Nuggets_12_Piece_Combo         | $8.59      | 4          |
	Total Price:  $34.36
Order Number:  274988
	Time Completed:  12:56 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Soft_Drink_Small               | $1.35      | 3          |
	| Milkshake_Large                | $3.15      | 3          |
	| Waffle_Fries_Small             | $1.55      | 1          |
	| Water_Dasani                   | $1.59      | 2          |
	| Nuggets_12_Piece_Combo         | $8.59      | 1          |
	Total Price:  $26.82
Order Number:  274987
	Time Completed:  12:55 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Milkshake_Small                | $2.75      | 3          |
	| Nuggets_12_Piece_Combo         | $8.59      | 4          |
	Total Price:  $42.61
Order Number:  274986
	Time Completed:  12:54 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich_Combo         | $5.95      | 2          |
	| Water_Dasani                   | $1.59      | 4          |
	| Waffle_Fries_Large             | $1.85      | 1          |
	Total Price:  $20.11
Order Number:  274985
	Time Completed:  12:52 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich_Combo_Spicy   | $6.79      | 4          |
	| Grilled_Chicken_Sandwich_Combo | $7.19      | 1          |
	Total Price:  $34.35
Order Number:  274984
	Time Completed:  12:50 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich               | $3.05      | 2          |
	| Nuggets_8_Piece                | $3.05      | 1          |
	Total Price:  $9.15
Order Number:  274983
	Time Completed:  12:50 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Water_Dasani                   | $1.59      | 2          |
	| Waffle_Fries_Medium            | $1.65      | 2          |
	Total Price:  $6.48
Order Number:  274982
	Time Completed:  12:49 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Soft_Drink_Small               | $1.35      | 2          |
	| Nuggets_12_Piece_Combo         | $8.59      | 3          |
	Total Price:  $28.47
Order Number:  274981
	Time Completed:  12:47 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Soft_Drink_Medium              | $1.59      | 2          |
	| Chicken_Sandwich               | $3.05      | 2          |
	| Waffle_Fries_Small             | $1.55      | 1          |
	| Nuggets_8_Piece                | $3.05      | 4          |
	Total Price:  $23.03
Order Number:  274980
	Time Completed:  12:47 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Waffle_Fries_Small             | $1.55      | 2          |
	| Milkshake_Large                | $3.15      | 2          |
	| Grilled_Chicken_Sandwich       | $4.39      | 4          |
	| Waffle_Fries_Small             | $1.55      | 3          |
	Total Price:  $31.61
Order Number:  274979
	Time Completed:  12:46 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Waffle_Fries_Medium            | $1.65      | 2          |
	| Chicken_Sandwich_Spicy         | $3.29      | 3          |
	Total Price:  $13.17
Order Number:  274978
	Time Completed:  12:43 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Waffle_Fries_Small             | $1.55      | 3          |
	| Chicken_Sandwich_Combo         | $5.95      | 4          |
	| Waffle_Fries_Medium            | $1.65      | 2          |
	Total Price:  $31.75
Order Number:  274977
	Time Completed:  12:42 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Nuggets_8_Piece_Combo          | $5.95      | 3          |
	| Soft_Drink_Large               | $1.85      | 4          |
	| Nuggets_8_Piece                | $3.05      | 4          |
	| Milkshake_Large                | $3.15      | 1          |
	Total Price:  $40.60
Order Number:  274976
	Time Completed:  12:42 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Nuggets_8_Piece_Combo          | $5.95      | 3          |
	| Nuggets_12_Piece_Combo         | $8.59      | 4          |
	| Chicken_Sandwich_Combo_Spicy   | $6.79      | 2          |
	Total Price:  $65.79
Order Number:  274975
	Time Completed:  12:39 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Soft_Drink_Medium              | $1.59      | 3          |
	| Chicken_Sandwich_Spicy         | $3.29      | 2          |
	| Nuggets_8_Piece                | $3.05      | 4          |
	Total Price:  $23.55
Order Number:  274974
	Time Completed:  12:38 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Soft_Drink_Small               | $1.35      | 2          |
	| Nuggets_12_Piece               | $4.45      | 4          |
	| Waffle_Fries_Large             | $1.85      | 1          |
	| Soft_Drink_Medium              | $1.59      | 1          |
	Total Price:  $23.94
Order Number:  274973
	Time Completed:  12:37 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich_Combo_Spicy   | $6.79      | 2          |
	| Soft_Drink_Small               | $1.35      | 1          |
	| Waffle_Fries_Small             | $1.55      | 3          |
	| Nuggets_12_Piece_Combo         | $8.59      | 1          |
	| Nuggets_12_Piece               | $4.45      | 2          |
	Total Price:  $37.07
Order Number:  274972
	Time Completed:  12:35 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich_Spicy         | $3.29      | 3          |
	| Milkshake_Small                | $2.75      | 3          |
	| Milkshake_Small                | $2.75      | 1          |
	| Chicken_Sandwich_Spicy         | $3.29      | 4          |
	| Waffle_Fries_Large             | $1.85      | 3          |
	Total Price:  $39.58
Order Number:  274971
	Time Completed:  12:33 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Waffle_Fries_Large             | $1.85      | 3          |
	Total Price:  $5.55
Order Number:  274970
	Time Completed:  12:31 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Grilled_Chicken_Sandwich_Combo | $7.19      | 2          |
	| Chicken_Sandwich_Combo_Spicy   | $6.79      | 3          |
	| Chicken_Sandwich_Combo         | $5.95      | 2          |
	| Nuggets_12_Piece               | $4.45      | 4          |
	Total Price:  $64.45
Order Number:  274969
	Time Completed:  12:31 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Soft_Drink_Medium              | $1.59      | 3          |
	| Waffle_Fries_Medium            | $1.65      | 3          |
	| Chicken_Sandwich_Combo_Spicy   | $6.79      | 3          |
	Total Price:  $30.09
Order Number:  274968
	Time Completed:  12:29 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich_Spicy         | $3.29      | 4          |
	| Grilled_Chicken_Sandwich       | $4.39      | 3          |
	Total Price:  $26.33
Order Number:  274967
	Time Completed:  12:27 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Waffle_Fries_Large             | $1.85      | 3          |
	| Soft_Drink_Medium              | $1.59      | 1          |
	Total Price:  $7.14
Order Number:  274966
	Time Completed:  12:26 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich_Combo_Spicy   | $6.79      | 3          |
	| Nuggets_8_Piece                | $3.05      | 3          |
	Total Price:  $29.52
Order Number:  274965
	Time Completed:  12:26 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Nuggets_8_Piece_Combo          | $5.95      | 4          |
	| Milkshake_Large                | $3.15      | 4          |
	| Soft_Drink_Small               | $1.35      | 3          |
	| Chicken_Sandwich_Spicy         | $3.29      | 3          |
	Total Price:  $50.32
Order Number:  274964
	Time Completed:  12:24 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Waffle_Fries_Small             | $1.55      | 4          |
	| Chicken_Sandwich_Spicy         | $3.29      | 2          |
	| Water_Dasani                   | $1.59      | 4          |
	Total Price:  $19.14
Order Number:  274963
	Time Completed:  12:23 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich               | $3.05      | 2          |
	| Waffle_Fries_Small             | $1.55      | 1          |
	| Chicken_Sandwich_Spicy         | $3.29      | 4          |
	Total Price:  $20.81
Order Number:  274962
	Time Completed:  12:21 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Waffle_Fries_Medium            | $1.65      | 3          |
	| Water_Dasani                   | $1.59      | 3          |
	| Nuggets_12_Piece_Combo         | $8.59      | 3          |
	| Chicken_Sandwich_Combo_Spicy   | $6.79      | 4          |
	Total Price:  $62.65
Order Number:  274961
	Time Completed:  12:20 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Soft_Drink_Medium              | $1.59      | 3          |
	| Nuggets_12_Piece               | $4.45      | 4          |
	| Chicken_Sandwich               | $3.05      | 1          |
	| Nuggets_12_Piece               | $4.45      | 2          |
	| Grilled_Chicken_Sandwich_Combo | $7.19      | 4          |
	Total Price:  $63.28
Order Number:  274960
	Time Completed:  12:17 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Nuggets_12_Piece_Combo         | $8.59      | 3          |
	| Milkshake_Large                | $3.15      | 1          |
	| Waffle_Fries_Medium            | $1.65      | 1          |
	| Waffle_Fries_Medium            | $1.65      | 3          |
	Total Price:  $35.52
Order Number:  274959
	Time Completed:  12:16 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
	| Chicken_Sandwich_Spicy         | $3.29      | 2          |
	| Soft_Drink_Small               | $1.35      | 1          |
	| Grilled_Chicken_Sandwich       | $4.39      | 3          |
	Total Price:  $21.10
Order Number:  274958
	Time Completed:  12:14 PM
	Items:  
	| NAME                           | PRICE      | QUANTITY   |
